#{"t_start": 1783131029.739724, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,terminal_yaw_error,terminal_yaw_penalty,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-21.14074,16,2821.65568,False,4.319459811860041,True,False,2.827758702248951,out_of_bounds,True,0.3451879082496304,0.0,1.8622586670590517,1.9583054116517258,1.8622586670590517,1.5676374878663144,16,16,1.0,0.9061164427889716,1.1438541894194125,0.6361473539457723,0.7071067811865476,-0.3925187587738037,0.43976789712905884,0.5,-0.8431699872016907,simulator_service,service_success,True,,0.0109,0.0001,service_success,0.0,False
-23.659508,38,2840.528255,False,2.5736035835444833,True,False,2.771870010368532,out_of_bounds,True,0.6740476450537157,0.0,1.1426208278653742,4.637695100119124,1.2496248776533174,1.158023835391917,38,38,1.0,1.1962284551677727,1.7577575758571626,0.5819058156049629,0.7071067811865476,-0.5,-0.5,0.03112814575433731,-0.19503694772720337,simulator_service,service_success,True,,0.0108,0.0001,service_success,0.0,False
-23.130943,21,2856.145689,False,5.410936706317843,True,False,3.014802989230823,out_of_bounds,True,0.5155326216582923,0.0,2.853521779478822,3.124875483395712,2.853521779478822,1.51830989168134,21,21,1.0,1.2486077897430268,1.7689430670882615,0.6551055710148306,0.7071067811865476,-0.5,-0.5,0.5,1.5229151248931885,simulator_service,service_success,True,,0.0109,0.0001,service_success,0.0,False
-55.55666,86,2885.050443,False,5.514136957121446,True,False,2.560158737067619,out_of_bounds,True,0.013234688560120873,0.0,4.9837649468770415,10.266353691119777,5.431815542089424,1.1164891231061969,86,86,1.0,1.1363935130705638,1.793711581496792,0.5883721042983105,0.7071067811865476,0.5,0.5,0.011735916137695312,1.5707963705062866,simulator_service,service_success,True,,0.0109,0.0001,service_success,0.0,False
-16.882431,16,2899.677707,False,1.1654326873679193,True,False,2.5430195496426453,out_of_bounds,True,0.5652872790713134,0.0,1.3637810335949556,1.9804458601309878,1.3637810335949556,1.4419413386105353,16,16,1.0,0.9302558109427762,1.1924193595978698,0.6191355613140096,0.7071067811865476,0.5,0.5,0.5,0.35422179102897644,simulator_service,service_success,True,,0.0109,0.0001,service_success,0.0,False
-30.397732,59,2923.03704,False,3.0708512126364997,True,False,0.7778963777091755,out_of_bounds,True,0.504585192282182,0.0,2.161026151261041,6.416775876586929,2.161026151261041,0.7778963777091755,59,59,1.0,1.0872787885835595,1.7260990234068867,0.4855818466151536,0.7071067811865476,-0.11586146056652069,0.5,-0.5,0.07860410958528519,simulator_service,service_success,True,,0.0108,0.0,service_success,0.0,False
-25.396294,27,2939.943415,False,3.646296574067915,True,False,2.6450256203930027,out_of_bounds,True,0.996105418715394,0.0,1.940495693289748,3.31305603409218,1.940495693289748,1.0391842724230227,27,27,1.0,1.1532157880063896,1.6234507698135563,0.5719773612684736,0.7071067811865476,-0.5,0.02030724287033081,0.5,0.7123600840568542,simulator_service,service_success,True,,0.0109,0.0,service_success,0.0,False
-30.69254,38,2959.063729,False,2.1459407646555926,True,False,2.8127346410878764,out_of_bounds,True,0.9959795137952913,0.0,2.7772093329041185,4.363808849107701,2.7772093329041185,1.721855397485536,38,38,1.0,1.0871217650213072,1.7775133512083556,0.6131450372948571,0.7071067811865476,0.16823525726795197,0.5,-0.21455615758895874,-0.538952112197876,simulator_service,service_success,True,,0.0108,0.0001,service_success,0.0,False
-33.861954,65,2987.175781,False,2.688380434297107,False,True,0.903172512398065,unsafe_low_altitude,True,0.07186617825282343,0.0,1.3829349964541944,6.74088444704495,1.648531983390417,0.903172512398065,65,65,1.0,1.0558959094161673,1.764785509585522,0.5219778355087041,0.7071067811865476,0.2526293992996216,0.5,-0.5,-0.12547414004802704,simulator_service,service_success,True,,0.0114,0.0011,service_success,0.0,False
2.4570355,43,3025.338979,True,0.22180159851848674,False,False,1.9170466877673265,success,True,0.9637568509039588,9.637568509039587,1.3639326833711434,4.794597981686504,1.3639326833711434,1.174919816067656,43,43,1.0,0.8986504069843614,1.5753397420297008,0.5197303786997627,0.7071067811865476,-0.5,-0.052040573209524155,0.5,1.2709765434265137,simulator_service,service_success,True,,0.0125,0.0,service_success,0.0,False
-22.076427,22,3041.354841,False,3.681969001790562,True,False,2.6088798337579115,out_of_bounds,True,0.6033991105854092,0.0,1.667040140126837,2.510193957515469,1.667040140126837,1.63625142702422,22,22,1.0,0.8866434355861482,1.7230553524478345,0.6083993062175493,0.7071067811865476,-0.08997800201177597,-0.5,0.5,-0.4035656750202179,velocity,post_controller_hold,False,,0.2107,1.6282,not_attempted,0.0,False
-16.918846,6,3054.016022,False,3.76174720444957,True,False,2.5192231169264208,out_of_bounds,True,0.9920267496626066,0.0,0.6863078587926986,0.6863078587926986,0.6863078587926986,2.0717856624869544,6,6,1.0,0.8068114079541356,0.8660511123628477,0.6326108279753172,0.7071067811865476,0.5,-0.5,0.5,-0.006673022173345089,simulator_service,service_success,True,,0.0107,0.0,service_success,0.0,False
-16.270975,6,3066.710355,False,2.0697302960417887,True,False,2.519903059952472,out_of_bounds,True,0.9995055138397413,0.0,0.5882018006974951,0.5882018006974951,0.5882018006974951,2.0936833406808897,6,6,1.0,0.8925575595795788,0.8925575595795787,0.5089729995287328,0.5089729995287328,-0.09514995664358139,-0.5,0.5,0.5362886190414429,simulator_service,service_success,True,,0.0098,0.0,service_success,0.0,False
-19.335588,12,3080.681035,False,4.454816533493034,True,False,2.9029806679666486,out_of_bounds,True,0.6475077791107343,0.0,1.6057038689600451,1.6101551900421434,1.6057038689600451,1.8823414248836583,12,12,1.0,1.6042235246096308,1.793711581496792,0.6728408559340755,0.7071067811865476,0.5,0.5,0.5,0.7072234153747559,simulator_service,service_success,True,,0.0098,0.0,service_success,0.0,False
-19.305117,22,3099.22609,False,2.318728009544957,False,True,0.8762953942047081,unsafe_low_altitude,True,0.26045086401589385,0.0,1.5319108783250508,3.1719052706843076,1.5319108783250508,0.8762953942047081,22,22,1.0,1.0494963778474282,1.338449559348436,0.7071067811865478,0.7071067811865476,-0.5,-0.5,-0.0793786570429802,-1.1336429119110107,simulator_service,service_success,True,,0.0096,0.0002,service_success,0.0,False
-21.329763,17,3118.124889,False,2.74325121103458,False,True,0.973482950040182,unsafe_low_altitude,True,0.2555321673232745,0.0,1.9903472680517769,2.206668753291792,1.9903472680517769,0.973482950040182,17,17,1.0,1.1990999974800103,1.6355092572560574,0.628870601786232,0.7071067811865476,0.39536741375923157,-0.5,-0.5,0.19681896269321442,simulator_service,service_success,True,,0.0111,0.0,service_success,0.0,False
-27.485596,47,3139.592991,False,4.417226637893687,True,False,1.2278421141965028,out_of_bounds,True,0.422354293378089,0.0,3.307042111956988,5.483030501432497,3.307042111956988,1.1631433536148603,47,47,1.0,1.0651176352342957,1.7229014165930918,0.5991589133207837,0.7071067811865476,0.03143332153558731,-0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0111,0.0,service_success,0.0,False
-21.347378,40,3159.92713,False,1.8444131791583351,True,False,2.71324129609392,out_of_bounds,True,0.8876724892606029,0.0,0.9606073225731784,4.691874086774561,1.7734227915672363,1.510592144167879,40,40,1.0,1.1014906937835176,1.793711581496792,0.5421465241370573,0.7071067811865476,0.5,0.5,-0.5,1.5707963705062866,simulator_service,service_success,True,,0.0095,0.0001,service_success,0.0,False
-20.306683,23,3178.999039,False,2.6041951324574657,False,True,0.9936894980449607,unsafe_low_altitude,True,0.7799442832882714,0.0,2.0559288487070417,3.090026194658858,2.0559288487070417,0.9936894980449607,23,23,1.0,1.098020677912634,1.5842300365360724,0.6364645480116652,0.7071067811865476,0.5,0.5,-0.5,-0.12841449677944183,simulator_service,service_success,True,,0.0096,0.0003,service_success,0.0,False
-22.940624,18,3194.615697,False,4.586560639236625,True,False,2.6338128313493487,out_of_bounds,True,0.26715972394996856,0.0,1.81593334590185,1.9515297175920394,1.81593334590185,1.4797405252970939,18,18,1.0,0.9615826760380491,1.2080499849969644,0.4668139963280801,0.7071067811865476,-0.07913735508918762,-0.4878050982952118,-0.5,0.4238266944885254,simulator_service,service_success,True,,0.0108,0.0,service_success,0.0,False
-19.34663,12,3211.441062,False,3.7889744857901424,False,True,0.9164444367834865,unsafe_low_altitude,True,0.3472833620216375,0.0,1.3339335788859552,1.346413266922017,1.3339335788859552,0.9164444367834865,12,12,1.0,1.1322019895767104,1.2241590429355882,0.3593862344523368,0.3897088205723225,-0.17084646224975586,-0.2812372148036957,-0.5,-1.0678400993347168,simulator_service,service_success,True,,0.0094,0.0003,service_success,0.0,False
-32.48041,65,3236.746624,False,4.411477315924724,True,False,2.22565846671119,out_of_bounds,True,0.04489949193120077,0.0,4.250838307039849,8.091205439270636,4.250838307039849,1.2702644005437047,65,65,1.0,1.2439863069329695,1.7303675654151622,0.6060352936619583,0.7071067811865476,0.5,-0.5,0.16361746191978455,1.5707963705062866,simulator_service,service_success,True,,0.0108,0.0,service_success,0.0,False
-20.987797,18,3252.439576,False,3.3317274209346426,True,False,2.7689938883101557,out_of_bounds,True,0.7830534722459517,0.0,2.0879195962954054,2.288656130278601,2.0879195962954054,1.5939591697552105,18,18,1.0,1.2617738303759847,1.72276652598103,0.6021333177276801,0.7071067811865476,-0.07258396595716476,0.3690165579319,-0.2745804190635681,-1.3896613121032715,simulator_service,service_success,True,,0.0094,0.0,service_success,0.0,False
-26.269176,35,3274.36425,False,3.245797948970378,False,True,0.8908878215695628,unsafe_low_altitude,True,0.47858126488305924,0.0,2.3314373631218817,4.484920118172044,2.3314373631218817,0.8908878215695628,35,35,1.0,1.205587612665384,1.7424419276598297,0.6115265738266448,0.7071067811865476,0.5,-0.3742419481277466,-0.46201878786087036,1.1912175416946411,simulator_service,service_success,True,,0.0095,0.0,service_success,0.0,False
-31.645403,35,3293.725981,False,3.5694466329810366,True,False,2.589376710498819,out_of_bounds,True,0.9537329319683401,0.0,1.392422870812015,4.867803135034537,1.6810564031570987,1.1458973144032722,35,35,1.0,1.5781765429252088,1.793711581496792,0.6818928294276756,0.7071067811865476,-0.5,0.5,0.5,1.5707963705062866,simulator_service,service_success,True,,0.011,0.0,service_success,0.0,False
-49.217247,53,3316.765007,False,5.720028819096428,True,False,2.9385579329679756,out_of_bounds,True,0.40514958160441905,0.0,1.2787021845880404,6.422137536057155,2.029846759639127,1.2864495274020356,53,53,1.0,1.0945672175103955,1.710420991350533,0.6386817444272468,0.7071067811865476,-0.5,-0.5,0.5,1.4749711751937866,simulator_service,service_success,True,,0.0094,0.0001,service_success,0.0,False
-19.202604,12,3331.447776,False,3.464441976314629,True,False,2.6543142678438483,out_of_bounds,True,0.46630617251956713,0.0,1.174340977136909,1.4445103235966985,1.174340977136909,1.6580677025494412,12,12,1.0,0.7676717165205735,0.7976950372917015,0.5318642690832,0.5517846843722418,0.2333802431821823,0.5,0.5,-0.24763123691082,simulator_service,service_success,True,,0.0094,0.0,service_success,0.0,False
-16.115555,6,3347.369886,False,2.6191668553437384,False,True,0.9105419919805404,unsafe_low_altitude,True,0.4479719947406098,0.0,0.8333112030216343,0.8333112030216343,0.8333112030216343,0.9105419919805404,6,6,1.0,1.108342109372536,1.108342109372536,0.7071067811865476,0.7071067811865476,0.5,-0.5,-0.5,0.6916807293891907,simulator_service,service_success,True,,0.0094,0.0,service_success,0.0,False
-36.057617,35,3366.869766,False,6.1992328324142365,True,False,2.300765559076302,out_of_bounds,True,0.2668943921493807,0.0,2.957165589825942,4.99082855566932,2.957165589825942,1.1403359686331755,35,35,1.0,0.8992276937121232,1.7712968290211153,0.663615859360259,0.7071067811865476,0.5,-0.41242116689682007,-0.5,1.5707963705062866,simulator_service,service_success,True,,0.0108,0.0,service_success,0.0,False
-44.28721,88,3399.749979,False,4.608245145005354,False,True,0.8106755467359832,unsafe_low_altitude,True,0.7233841142074527,0.0,3.4924245372848293,10.494020968445195,3.576274217847617,0.8106755467359832,88,88,1.0,1.224509523819255,1.793711581496792,0.6485455406542292,0.7071067811865476,0.5,-0.5,-0.5,-0.9815244674682617,simulator_service,service_success,True,,0.0094,0.0001,service_success,0.0,False
-33.20681,59,3424.187509,False,4.663964976030677,True,False,2.8901968854558535,out_of_bounds,True,0.04183912229286934,0.0,4.000964745285442,7.930693311682383,4.000964745285442,1.1595922549865534,59,59,1.0,1.244187606087616,1.7922756131341122,0.6370543082249813,0.7071067811865476,0.5,-0.3382289707660675,0.5,1.5707963705062866,simulator_service,service_success,True,,0.0108,0.0,service_success,0.0,False
-31.784307,69,3453.386721,False,4.112306015477634,False,True,0.806051991561763,unsafe_low_altitude,True,0.7902320500593671,0.0,3.1604418114609585,7.733432248433226,3.1604418114609585,0.806051991561763,69,69,1.0,1.0010706276033694,1.7233776063054458,0.5809218734846512,0.7071067811865476,-0.5,-0.0512751042842865,0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0093,0.0001,service_success,0.0,False
-17.808418,12,3468.149029,False,2.8306114103465716,True,False,2.6155339231218733,out_of_bounds,True,0.4695342357557475,0.0,1.5323609487880994,1.632095767317015,1.5323609487880994,1.5540713196794382,12,12,1.0,0.9167221369919835,0.9877461246090143,0.6956315767777991,0.7071067811865476,0.5,-0.5,0.5,0.47501832246780396,simulator_service,service_success,True,,0.0108,0.0,service_success,0.0,False
-34.38839,36,3487.991548,False,5.064655974666369,True,False,2.5629928452512516,out_of_bounds,True,0.30907229221030075,0.0,1.4488192390546055,3.926062203093819,1.4488192390546055,1.0965398463332716,36,36,1.0,1.5235454790788951,1.793711581496792,0.5292632752580699,0.7071067811865476,0.4912269115447998,0.24678312242031097,-0.5,1.2119688987731934,simulator_service,service_success,True,,0.0093,0.0001,service_success,0.0,False
-41.24432,47,3510.208593,False,5.642245234947615,True,False,2.6276418010885836,out_of_bounds,True,0.03410748432439969,0.0,2.7430299417664465,6.499438195318732,2.7430299417664465,1.0225649388762375,47,47,1.0,1.5949793574409983,1.793711581496792,0.696407302942271,0.7071067811865476,0.5,-0.5,0.5,-1.1935889720916748,simulator_service,service_success,True,,0.0093,0.0002,service_success,0.0,False
-32.878876,53,3536.066162,False,1.9070565347022728,False,True,0.8828054648006761,unsafe_low_altitude,True,0.6099952804305988,0.0,2.594129217519715,6.527640910856374,2.594129217519715,0.8828054648006761,53,53,1.0,1.33464257024451,1.7643092006338248,0.5990508744935225,0.7071067811865476,0.29453355073928833,-0.5,-0.5,-1.557955026626587,simulator_service,service_success,True,,0.0092,0.0,service_success,0.0,False
-19.181345,12,3553.695275,False,2.9069844661523114,False,True,0.8160291611494624,unsafe_low_altitude,True,0.15138252631464405,0.0,1.3087605985379125,1.6667041310099813,1.3087605985379125,0.8160291611494624,12,12,1.0,1.0476721874303692,1.1129651457386427,0.6741710643037201,0.7071067811865476,-0.2118343859910965,0.4794329106807709,-0.5,-0.3978911340236664,simulator_service,service_success,True,,0.0106,0.0,service_success,0.0,False
-19.820206,24,3571.215455,False,2.365874252463567,True,False,0.7687343299661937,out_of_bounds,True,0.3519213297725625,0.0,2.2896158124288757,2.8490515786721873,2.2896158124288757,0.7687343299661937,24,24,1.0,0.8209633545039322,0.992914095956716,0.5344374685519664,0.6437542346127999,0.026847204193472862,0.14023533463478088,-0.0704980418086052,0.8070695400238037,simulator_service,service_success,True,,0.0108,0.0,service_success,0.0,False
-55.66902,61,3596.689332,False,5.993066100497209,True,False,2.518841352421378,out_of_bounds,True,0.055270172721711364,0.0,1.445998919702385,7.791575717005446,2.2478251028201837,1.2536649909343642,61,61,1.0,1.4352971876301903,1.793711581496792,0.6455641434245492,0.7071067811865476,0.5,0.3099808096885681,0.5,1.5707963705062866,simulator_service,service_success,True,,0.009,0.0001,service_success,0.0,False
-32.309082,50,3619.671216,False,4.530175716730721,True,False,2.8522706010184917,out_of_bounds,True,0.39194686487263386,0.0,3.0220748048981325,5.804646234605775,3.0220748048981325,1.198551717900092,50,50,1.0,1.0201435227841344,1.5696071879192213,0.5157873791441641,0.7071067811865476,-0.05349951609969139,0.5,0.5,-0.0007358061848208308,simulator_service,service_success,True,,0.0088,0.0,service_success,0.0,False
-24.87373,25,3637.607816,False,3.3913119776861005,True,False,0.708597041062064,out_of_bounds,True,0.5821892631951051,0.0,2.6021060963307323,3.0878215457516607,2.6021060963307323,0.708597041062064,25,25,1.0,1.0668931295472575,1.6313217042952968,0.6083051197272649,0.7071067811865476,-0.2548432946205139,-0.5,-0.5,-0.6381309628486633,simulator_service,service_success,True,,0.009,0.0,service_success,0.0,False
-19.955605,12,3652.989013,False,3.1717798641294905,True,False,0.7959459169059203,out_of_bounds,True,0.8380174286623799,0.0,1.662867846524673,1.7643658322600744,1.662867846524673,0.7959459169059203,12,12,1.0,1.077430647846193,1.199888098586144,0.7071067811865478,0.7071067811865476,-0.5,0.5,-0.5,-0.8305007219314575,simulator_service,service_success,True,,0.0089,0.0001,service_success,0.0,False
-23.46108,19,3669.81268,False,5.431844686292805,True,False,1.3046855501226786,out_of_bounds,True,0.007290524315946635,0.0,1.9712645263120643,2.3779502315087084,1.9712645263120643,1.1664488087047225,19,19,1.0,1.2615853845973446,1.7874540852121552,0.6277049621423888,0.7071067811865476,0.5,0.5,-0.5,0.29760706424713135,simulator_service,service_success,True,,0.009,0.0001,service_success,0.0,False
-15.819216,6,3686.500614,False,1.720984439384848,False,True,0.9854967702796431,unsafe_low_altitude,True,0.4321142959799533,0.0,0.7724423393740472,0.7724423393740472,0.7724423393740472,0.9854967702796431,6,6,1.0,0.8504345506619883,0.8504345506619883,0.6428612649080656,0.6428612649080656,0.4040675759315491,0.5,-0.5,0.24488429725170135,simulator_service,service_success,True,,0.0089,0.0,service_success,0.0,False
