#{"t_start": 1783094212.584979, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-14.631222,80,183.035053,False,0.9432863358181856,False,False,1.9819915054630586,max_steps,True,0.3966989555462902,4.880434281412544,1.261078891390492,1.205801206664916,80,80,1.0,0.4051899522125998,0.7597936849561574,0.24567246965873907,0.5366549510254125,-0.05175765976309776,-0.32475462555885315,-0.059330686926841736,-0.11969175934791565,simulator_service,service_success,True,,0.0112,0.0,service_success,0.0,False
14.472773,10,191.649177,True,0.38618249223173506,False,False,1.2557971227328937,success,True,0.9292434673040546,1.023522154576726,0.9292434673040546,1.1848586132635925,10,10,1.0,0.6163259443595538,0.77054289830403,0.4574761659936555,0.5414924599550326,-0.0675274059176445,0.329759418964386,0.1353796422481537,0.3406513035297394,velocity,post_controller_hold,False,,0.1621,0.8374,not_attempted,-1.5647079780638284,False
-19.806072,43,205.258433,False,1.0462437328653778,True,False,2.512052065974249,out_of_bounds,True,1.3745631855169436,2.525288341012149,1.3745631855169436,1.527736317370623,43,43,1.0,0.5418205083047692,0.9426076326417727,0.2578129743196011,0.527857535303662,0.3590044379234314,0.22220730781555176,0.17696258425712585,0.03439925238490105,velocity,post_controller_hold,False,,0.0975,1.365,not_attempted,0.0,False
-44.22883,57,221.97361,False,1.387533426502252,True,False,2.539407753026395,out_of_bounds,True,1.095861315774124,5.260546911970995,1.6106081850769183,1.1634896341802157,57,57,1.0,0.5989713502742006,0.8945584092002774,0.3431915456259166,0.589252796938063,0.2976207137107849,0.4224674105644226,0.5,-0.5321446657180786,simulator_service,service_success,True,,0.0105,0.0,service_success,0.0,False
-47.542103,61,239.39577,False,3.088123521613498,True,False,2.5082484069074598,out_of_bounds,True,2.4001217459843387,6.495925317326356,2.4001217459843387,1.128369569707098,61,61,1.0,0.6100832985182308,1.1470420663807823,0.4456824324982181,0.7071067811865476,-0.5,0.5,0.5,-0.18480989336967468,simulator_service,service_success,True,,0.0093,0.0,service_success,0.0,False
-11.27924,80,261.705344,False,1.2896465648031379,False,False,2.145895802702924,max_steps,True,0.6889434108185705,5.412129746059513,0.8263670593555689,1.5729707097737364,80,80,1.0,0.3733453169228443,0.7449913216973953,0.30188166394219906,0.6097516708138908,0.5,-0.18712881207466125,-0.08377765119075775,-0.44051939249038696,simulator_service,service_success,True,,0.0092,0.0,service_success,0.0,False
-70.82173,80,284.120407,False,2.1743921864585922,False,False,1.500942492081002,max_steps,True,1.6918990721410556,8.135580360044495,2.2628786057370056,1.106819915666218,80,80,1.0,0.7454974870847046,1.7395396396442175,0.3857193493253356,0.7071067811865476,0.5,-0.5,0.5,-0.4347996115684509,velocity,post_controller_hold,False,,0.1419,1.3098,not_attempted,0.0,False
-29.755705,80,310.130684,False,2.1233031095051764,False,False,1.4058813390127696,max_steps,True,2.9090835344413506,9.708006374390164,2.9090835344413506,1.1178036285607935,80,80,1.0,0.7434914291922838,1.3736873440179636,0.4850945705881647,0.7071067811865476,0.06840262562036514,0.1825137734413147,-0.5,0.08858322352170944,velocity,post_controller_hold,False,,0.1797,0.1164,not_attempted,0.0,False
-47.20894,69,329.333877,False,1.5587560622303294,True,False,2.5147581136798536,out_of_bounds,True,1.236529810752543,9.17006559904962,2.1694293643154947,1.1559277599458857,69,69,1.0,0.9418105230464401,1.7831787626605522,0.5686150480946958,0.7071067811865476,0.2860896587371826,0.004721181467175484,0.5,0.2047956883907318,velocity,post_controller_hold,False,,0.1508,2.5366,not_attempted,0.0,False
17.710243,25,340.443713,True,0.38926737960588614,False,False,1.3699225288195918,success,True,0.750780467467511,1.752751065790746,0.750780467467511,1.2677487168619106,25,25,1.0,0.38416386820105525,0.6979835667477436,0.32933289364759216,0.5077935857460296,0.02732277661561966,-0.06730608642101288,0.003175148041918874,-0.23897777497768402,simulator_service,service_success,True,,0.0081,0.0,service_success,0.0,False
-40.91171,75,361.108396,False,1.2751943504529724,True,False,2.5312413467043093,out_of_bounds,True,1.5618753178747316,6.601697586429819,1.8185663636260192,1.17410131910539,75,75,1.0,0.5407672106917848,0.9804620917325749,0.30498256979102956,0.7071067811865476,-0.10222820937633514,0.10510280728340149,0.4647749662399292,0.06469263136386871,velocity,post_controller_hold,False,,0.0989,0.4042,not_attempted,0.0,False
-18.563562,80,384.693716,False,1.8711766697003365,False,False,1.3392183410242398,max_steps,True,0.9725437571467606,7.5535925443315195,1.5879766865430265,1.2496065179851317,80,80,1.0,0.6121520272893751,1.363977985348941,0.4094655786055892,0.7030634217728561,0.22351214289665222,0.46463656425476074,-0.2557986378669739,0.8167283535003662,simulator_service,service_success,True,,0.0049,0.0,service_success,0.0,False
20.013153,12,393.810895,True,0.3739729908133997,False,False,1.467692940455398,success,True,0.9473266294935416,1.0628684031137492,0.9473266294935416,1.3706553743098318,12,12,1.0,0.7772989580868387,0.9268590162291352,0.49399161270114106,0.579573245064954,0.5,-0.1762913018465042,0.026992471888661385,-0.371540367603302,velocity,post_controller_hold,False,,0.1579,1.3833,not_attempted,0.0,False
-25.36977,34,406.323939,False,2.309699643284906,True,False,2.5297851263443794,out_of_bounds,True,1.6721614283507695,3.9783846264804383,2.4029777315188956,1.4063923147411985,34,34,1.0,0.68824034396174,0.9791109221972739,0.5419961945818896,0.7071067811865476,-0.5,-0.10371049493551254,0.5,0.42783239483833313,velocity,post_controller_hold,False,,0.1329,1.5514,not_attempted,0.0,False
-33.05682,80,429.532856,False,1.9517706097720273,False,False,1.388373629773202,max_steps,True,1.3213460822900727,10.370926404719254,2.5487790274318596,1.1938277735139509,80,80,1.0,0.7182394812165876,1.1446633944287814,0.5639771264878121,0.7071067811865476,-0.5,-0.5,0.5,-0.7070907950401306,simulator_service,service_success,True,,0.0034,0.0002,service_success,0.0,False
-97.150024,80,460.055777,False,5.880596671177358,False,False,1.275126681412393,max_steps,True,4.9243799282890235,10.718439412516002,4.926746539255659,1.0742930424845631,80,80,1.0,1.0555962489875843,1.7704267848137742,0.52892374877092,0.7071067811865476,-0.5,0.4045797884464264,0.5,1.5537000894546509,velocity,post_controller_hold,False,,0.1299,0.4982,not_attempted,-1.9000216651139201,False
-19.829554,15,468.869001,False,2.4162139496923905,True,False,2.5121462820624596,out_of_bounds,True,1.5187478443499127,1.7667586105157977,1.5187478443499127,1.5587244182430335,15,15,1.0,0.6565575212989964,0.8827509352153183,0.5354080280788763,0.6854743314127502,-0.38799595832824707,-0.3060944378376007,-0.5,0.05134133994579315,velocity,post_controller_hold,False,,0.1475,2.3514,not_attempted,0.0,False
-35.02027,27,480.082703,False,2.067326381691364,True,False,2.5649247516263123,out_of_bounds,True,1.6835255841097942,2.935745210654874,1.6835255841097942,1.1394390251372057,27,27,1.0,0.6430379864343233,0.890109140984921,0.4337530683649427,0.7071067811865476,-0.5,-0.5,0.5,-0.1952546238899231,simulator_service,service_success,True,,0.0024,0.0,service_success,0.0,False
4.408429,28,491.794029,True,0.36954039572253555,False,False,1.4778196012010825,success,True,0.6260460716753926,2.6834863904002693,0.7849752616762874,1.1621564519636454,28,28,1.0,0.5161328260919062,0.751351382989245,0.3947802958497415,0.5067299599484446,0.2811855375766754,-0.04260795935988426,-0.26952826976776123,-0.008610833436250687,simulator_service,service_success,True,,0.0024,0.0002,service_success,0.0,False
-64.77455,64,510.809225,False,2.306249696772124,True,False,2.5702815349251464,out_of_bounds,True,1.5478996032101662,7.321389607726722,1.5478996032101662,1.1070819221863883,64,64,1.0,0.9370676462561924,1.7442514426457485,0.48172434648960133,0.7071067811865476,-0.5,0.5,0.5,0.0645594671368599,velocity,post_controller_hold,False,,0.1153,0.1385,not_attempted,0.0,False
